id	GSM2225183	GSM2225184	GSM2225185	GSM2225186	GSM2225187	GSM2225188	GSM2225189	GSM2225190	GSM2225191	GSM2225192	GSM2225193	GSM2225194	GSM2225195	GSM2225196	GSM2225197	GSM2225198	GSM2225199	GSM2225200	GSM2225201	GSM2225202	GSM2225203	GSM2225204	GSM2225205	GSM2225206	GSM2225207	GSM2225208	GSM2225209	GSM2225210	GSM2225211	GSM2225212	GSM2225213	GSM2225214	GSM2225215	GSM2225216	GSM2225217	GSM2225218	GSM2225219	GSM2225220	GSM2225221	GSM2225222	GSM2225223	GSM2225224	GSM2225225	GSM2225226	GSM2225227	GSM2225228	GSM2225229	GSM2225230	GSM2225231	GSM2225232	GSM2225233	GSM2225234	GSM2225235	GSM2225236	GSM2225237	GSM2225238	GSM2225239	GSM2225240	GSM2225241	GSM2225242	GSM2225243	GSM2225244	GSM2225245	GSM2225246	GSM2225247	GSM2225248	GSM2225249	GSM2225250	GSM2225251	GSM2225252	GSM2225253	GSM2225254	GSM2225255	GSM2225256	GSM2225257	GSM2225258
 CLEC4M 	3.76777307894737	4.21443778289474	3.85597507894737	4.22151382236842	4.15894932236842	3.80765129605263	4.17926655263158	3.95290938157895	4.2989692631579	4.43224067105263	3.82466611842105	5.24397375	4.03722160526316	5.46014338157895	4.83920390789474	5.26939094736842	3.88714513157895	5.15600569736842	3.93917841447368	3.78290703289474	4.65462773026316	4.15234356578947	4.00442723684211	4.37739373026316	4.15057552631579	4.06743944736842	3.91814213157895	3.96232107894737	4.03814924013158	4.04211974342105	3.68520401315789	4.15729220394737	3.88171825	3.81311651315789	3.88905838815789	4.16998448026316	4.14456279605263	3.80199063815789	8.66381626315789	10.3070507763158	10.8834782894737	10.2818579210526	10.0153352763158	8.46392142105263	9.7238167368421	9.25722723684211	9.97607361842105	9.05431192105263	9.30989607894737	8.56055380263158	7.70885878947368	9.7687484868421	8.21177205263158	9.57331157894737	8.62070501973684	9.66011571052632	9.29875982894737	8.97220047368421	9.154878125	9.40386972368421	8.94698348684211	8.91320247368421	8.77690101315789	10.4596766842105	9.48971980263158	10.4038748947368	9.03594205921053	9.25643377631579	9.16325855263158	9.75337459868421	9.77624053947368	10.2407744078947	9.96597467105263	9.83138392105263	10.2266538552632	9.934263
 OIT3 	4.43703523026316	4.64505800657895	4.74729427631579	5.390092875	4.82840905921053	5.96221169078947	5.489496	4.88277352631579	5.61833419736842	5.73843680263158	5.73580901973684	6.51403172368421	5.15025015131579	6.70090765789474	5.26033468421053	7.61215428947368	4.71463993421053	7.69422942105263	5.65894944078947	5.32492146710526	5.35399920394737	5.68971999342105	5.58813153947368	5.50480517105263	5.4964375131579	5.35678038815789	4.97851778947368	5.28239921052632	5.40575522368421	5.60382738157895	5.47248618421053	5.184523125	4.73216966447368	4.96126227631579	4.95945453947368	4.86735150657895	4.67041272368421	4.97323434868421	9.4757707368421	10.2977999736842	10.5024560526316	10.3851343157895	10.4325867368421	9.83790920394737	10.0093824605263	9.71487898684211	9.98054746052632	9.79925475	9.90976493421053	9.88533714473684	9.83659672368421	9.70275208552632	10.1304057631579	9.48023635526316	9.86092392105263	9.828359	9.74623098026316	9.84152714473684	9.89307855921053	9.90453461842105	9.56023272368421	10.2818579210526	9.984282	10.1816688421053	10.0211767894737	10.0495175263158	9.83921138157895	10.1304057631579	9.88296368421053	10.2716349868421	10.1186202105263	10.3813714736842	10.0241278157895	10.0922549342105	10.2448467368421	10.5514935657895
 STAB2 	4.30264965789474	4.25501965131579	4.12412307894737	4.43847573684211	4.44710177631579	4.48876915131579	4.56683547368421	4.337023125	4.55558095394737	4.73778404605263	4.473084625	4.92836203947368	4.46719113157895	5.40876850657895	4.28287918421053	6.33172227631579	4.17995581578947	5.77644370394737	4.59470306578947	4.55037692763158	4.65603179605263	4.54234163157895	4.35206948684211	4.43445436184211	4.36210135526316	4.57509450657895	4.39837301315789	5.52458210526316	4.52542015789474	4.1849228881579	4.56589532236842	4.54143434210526	4.09472958552632	4.54092648684211	4.33405870394737	4.41938584868421	4.64619428289474	4.15296872368421	8.27833497368421	8.74402485526316	9.26537664473684	8.46685434868421	8.65416407894737	7.80279964473684	8.18220913157895	7.89167067763158	7.76135425657895	7.98891776315789	8.63609065131579	7.58978110526316	7.48174001315789	8.88204531578947	7.98299864473684	8.49302369736842	8.6771810131579	8.02998288157895	8.44820321052632	8.53694236842105	8.42497257894737	8.1925969868421	8.58982018421053	8.27792359868421	8.28145765789474	9.50462142763158	7.72846119078947	9.32132063815789	7.37504967105263	7.85266698684211	8.13979252631579	8.48995007894737	8.41062426315789	8.26074794736842	8.2007127631579	8.08649577631579	8.40142334210526	8.52213228289474
 CLEC4G 	6.41696665789474	7.07834028947368	6.68242569736842	6.91624213157895	6.43255785526316	7.21556179605263	6.46529529605263	7.02942977631579	6.63284427631579	6.54452484210526	6.42656807894737	7.28590480263158	6.89355746052632	7.21124553947368	6.86738571052632	7.73527697368421	6.93127151973684	8.02492352631579	6.78812998026316	6.68800606578947	7.16674392763158	6.94547594736842	6.53591173684211	8.05464598026316	7.09572856578947	7.30394848026316	6.57010111842105	6.94660376973684	6.82997258552632	6.50499555263158	7.20402642105263	7.01882059868421	6.46834357894737	7.16995996052632	6.54179965789474	7.04700008552632	6.51044117105263	6.50098569736842	9.65322135526316	10.0184315657895	10.6406784605263	10.1364679473684	10.2228446447368	9.62015309210526	10.0124609473684	9.59789463815789	9.92854928947368	9.57755205263158	9.56356657894737	9.76997096052632	9.78662220394737	9.72030003947368	9.79925475	9.34136360526316	9.37264038157895	9.90578006578947	9.64267225	9.63846954605263	9.33973907894737	9.50875442105263	9.29789217105263	9.97180541447368	9.58897485526316	10.3018120263158	9.76147584210526	10.2732843223684	9.5786114868421	9.4596175	9.31958921710526	10.4596766842105	9.75934686842105	10.2783646776316	10.2430394868421	10.1382894473684	10.6113701315789	10.2009929210526
 CRHBP 	5.390092875	5.89117555263158	5.3612845372807	5.48677740131579	5.26654044736842	6.12683357894737	6.25176993421053	5.53587970394737	5.98383867105263	6.95160467105263	6.84527707894737	6.72638547368421	5.97556923684211	7.00428796052632	6.27963643421053	8.10736275	5.6141708618421	8.18054240789474	6.26690236842105	5.96858301315789	5.55681696710526	5.57663444078947	6.25295095394737	5.89425507236842	6.02138845394737	6.23203621710526	5.52786090131579	5.34577208333333	6.499148875	5.43005452631579	5.26365563157895	5.53972482236842	5.81806955263158	4.60847915789474	5.28790467763158	5.02713386184211	5.64838946710526	4.98400323026316	10.1867815131579	10.0699538815789	9.10051339473684	10.1753318157895	10.5593590263158	10.0910076973684	10.2168960526316	10.1073907171053	10.1364679473684	10.3250227631579	10.0153352763158	10.1027227236842	10.1169438355263	9.85326001315789	9.9703567368421	9.90976493421053	10.0362296710526	10.0741234605263	10.1270275263158	10.0993774802632	9.89736611842105	10.6586988486842	9.79418397368421	10.59356925	9.89736611842105	10.0462890592105	10.3623703486842	10.2532324210526	9.79545693421053	10.2550848421053	10.5750390526316	9.96310814473684	10.4596766842105	9.57755205263158	10.4431789078947	10.1973278157895	9.4596175	10.2852187236842
 FCN3 	4.91967315131579	5.61833419736842	4.65862403289474	4.86780740789474	4.81999309210526	5.69883829605263	5.76839235526316	5.28831167105263	4.98400323026316	5.72722165789474	5.57915706578947	6.72377507894737	5.08914585526316	7.16280980263158	5.29045692105263	8.43094797368421	5.23115780921053	7.99519922368421	5.13578646052632	5.51551414473684	4.35206948684211	5.58284154605263	5.08302278289474	5.35812305921053	4.91687583552632	5.58845883552632	5.26489385745614	5.42466108552632	4.745920875	5.22179357894737	5.07983231578947	5.79694523684211	5.13611676973684	4.77288934868421	5.08138125657895	5.29421875	4.63869865131579	5.32710975	9.67231423026316	10.6431691315789	9.61485011184211	10.1659044342105	10.2187963157895	10.3870732368421	9.85569494078947	10.0198035921053	10.5907720131579	10.4560001973684	10.2247499473684	10.1673295789474	10.2104163289474	9.75934686842105	10.3584256447368	9.88942146052632	9.93131081578947	10.2482457105263	9.00888504605263	9.42171022368421	10.317463	9.55826893421053	9.61583109210526	10.9701273684211	10.2168960526316	9.83138392105263	10.5268980263158	10.0978998026316	10.3104833947368	9.87604930263158	10.1057888223684	10.4811592105263	10.3415747763158	9.82695347368421	10.5772962763158	10.2532324210526	9.46837053947368	10.2335958289474
 BMPER 	4.68103654605263	4.57930642763158	4.375155375	4.54285317763158	4.36151973026316	4.63915488157895	4.51576771052632	4.46665321710526	4.34076869736842	4.59626596052632	5.09297982894737	4.81421030263158	4.55499251315789	5.10957132894737	4.73873035526316	5.7799375	4.35591590131579	4.89360798684211	4.63122219736842	4.40054075657895	4.41212264473684	4.36482335526316	4.54143434210526	4.42860698026316	4.67041272368421	4.5519925131579	4.37990384868421	4.42583278289474	4.64432110197368	4.66352303289474	4.46621017105263	4.55981693421053	4.449123625	4.26875834210526	4.26446653947368	4.33051198684211	4.38702992105263	5.18704484868421	7.31987935526316	6.95525248026316	7.23245603947368	6.74694686842105	7.64185767105263	6.67424048026316	6.54267326315789	6.53922380263158	6.80380740131579	6.91365906578947	7.33233089912281	6.37111395394737	6.10700235526316	7.60717876315789	6.64894805263158	7.24148492105263	6.72403475	6.53987534868421	6.83793938157895	6.81312794078947	6.758592625	7.23499531578947	6.704162	7.01641792105263	6.6794676118421	7.75415232236842	6.72516066447368	7.36012701315789	6.19315723684211	6.65104031578947	6.55763116447368	7.09705040131579	7.38724705921053	6.89417386842105	6.83572725657895	6.98065707894737	7.42972281578947	7.12443867105263
 CLEC1B 	3.85896521052632	4.3945516118421	3.91878888157895	4.5046153618421	3.85187494736842	4.34783605921053	4.09000690789474	3.36036326315789	3.89584528289474	3.86775376315789	3.95740578947368	4.79660196052632	3.72406434210526	4.76387321052632	4.10945517105263	5.52268019078947	4.15777511842105	6.18322220394737	4.65603179605263	4.20368823684211	4.26151934868421	4.19658680263158	3.6202885	3.93917841447368	4.20066368421053	3.35096228289474	3.70964036184211	4.03535782894737	3.60019871052632	3.59339746710526	4.22838751973684	3.95107234868421	3.64791959868421	4.27704419736842	3.73516904605263	4.07382546052632	3.55923635526316	3.77520584210526	7.70161646052632	7.61852279605263	7.01241367105263	7.80129572368421	9.52930230263158	8.169818125	8.44868746710526	8.63151827631579	8.13385642105263	7.98523601315789	7.69450658552632	7.93262009210526	6.87663949780702	7.60688518421053	7.73740353947368	7.55137009868421	7.73040665789474	8.37006164473684	8.84426213815789	8.24751152631579	8.24379715789474	8.75967280921053	7.27896303947368	9.13011061842105	7.13258208552632	8.31533713596491	8.801201125	8.51864698026316	7.489854625	8.05154002631579	7.99929664473684	9.17310883552632	8.93166273026316	6.79370322368421	8.09856511842105	7.81917794736842	6.9616035131579	8.37399381578947
 BMP10 	4.19477931578947	3.76217885526316	4.28659802631579	4.24858583552632	3.92696372368421	4.42754601973684	4.51183774342105	4.18214281578947	3.99511981578947	5.0826556118421	5.09852091447368	4.30056725657895	3.82210375	4.64832359210526	3.87974765131579	4.95698659868421	4.05712890131579	4.65556285526316	4.08165663157895	3.90097296710526	4.21491893421053	4.14776523026316	4.19658680263158	4.34289013157895	4.10074251973684	4.13796015789474	3.91367401973684	3.66787238815789	4.14640332894737	4.62918826315789	4.2526583618421	4.06743944736842	4.29360125657895	4.37576661842105	4.04211974342105	3.78702792105263	4.07141517763158	3.85002239473684	6.3906865	6.87740225	6.60750480921053	6.78403918421053	6.70090765789474	5.89487001315789	6.4960948881579	6.39982127631579	7.06692151973684	6.32966711842105	6.88033844078947	6.19252520394737	6.18904396052632	6.75179813157895	5.62573628289474	6.13925602631579	6.72377507894737	6.23662641447368	6.28704447368421	7.26031125	6.73872628289474	6.27565744078947	6.69535210526316	6.89196893421053	6.22445367763158	7.40072219078947	5.79170907236842	6.87600914473684	6.29113578947368	6.99925982894737	6.11084353947368	6.97404582894737	6.20535431578947	6.65463160526316	6.1476388618421	6.23793525	7.02744147368421	6.51197521710526
 GDF2 	4.77247494736842	4.92145153947368	4.71691666447368	4.85705878289474	4.74461568421053	5.60422134210526	4.62022589473684	5.03798954605263	4.43116425	4.73873035526316	5.53972482236842	5.89037514473684	5.00614168421053	5.06698040789474	4.42485667105263	6.34618606578947	5.17302567763158	5.58179319736842	4.56589532236842	4.66547634868421	5.44738638157895	4.61229565789474	4.57721524342105	5.38939363815789	4.12763296052632	5.22622331578947	4.39022344736842	4.42966135526316	4.97404189473684	4.18376608552632	4.77105570394737	4.97143439473684	4.48503591447368	5.10487432236842	4.39675786184211	5.10327941447368	4.63825882894737	4.22968978289474	7.18065824342105	7.248935875	7.686014	7.10238651973684	7.72769934210526	7.99015465789474	7.77030755921053	7.23361536842105	7.77966425	7.55594184210526	8.20289748026316	8.91526310526316	8.34468314473684	7.27952167105263	7.80970990789474	7.29043261842105	7.81354910526316	7.96669580921053	7.56881031578947	7.59898546710526	7.46806528947368	7.58619598245614	7.29451094078947	7.96809777631579	7.81952327631579	8.40880478947368	7.18933815789474	7.41836201973684	7.30645967105263	7.71886009210526	7.09388536842105	7.95296044078947	8.01271002631579	7.41718909210526	7.39823932236842	6.96656776315789	8.13537491447368	7.49419792105263
