id	GSM2233086	GSM2233088	GSM2233090	GSM2233092	GSM2233094	GSM2233096	GSM2233098	GSM2233100	GSM2233102	GSM2233104	GSM2233106	GSM2233108	GSM2233110	GSM2233112	GSM2233087	GSM2233089	GSM2233091	GSM2233093	GSM2233095	GSM2233097	GSM2233099	GSM2233101	GSM2233103	GSM2233105	GSM2233107	GSM2233109	GSM2233111	GSM2233113
FCN2	3.79309697090834	5.67861546817303	3.71057686968568	4.93078426286793	3.84129027141423	3.92203923204297	2.1952350943224	3.7750693597764	4.1481601855783	4.36455367313644	3.4937754084607	3.55715497875824	4.1598497178096	3.38729993422916	7.17954086756922	7.24006627421102	6.97138274374865	8.28222521260754	7.24006627421102	7.01098958259409	6.16117748210693	6.57979002275272	7.20968280780793	7.20652601587743	7.72379053778899	6.3635497023321	6.33227956196877	6.78375051299008
ABCA8	3.45160362851027	6.59968087330553	3.20009489665725	3.69878733559774	3.0042338449833	4.19649256403246	4.19567334167513	3.9711704859425	3.42808494856066	5.20734325108932	3.92896244083598	3.49187981265713	4.97270632825551	3.22562749464182	7.44475461095496	7.94635107076229	7.44475461095496	7.42738393691015	7.46261522597281	7.65547961269257	6.41500522402179	6.53574518057855	7.92081559053101	7.39152337443919	7.86037387743468	7.16959577751216	7.80071697135131	7.6747194080354
OIT3	3.52278514093142	7.38951867032108	4.17770427574925	5.45289817637491	3.9138175228317	5.58792749632064	4.50187508772238	4.46892155653346	4.80715073611692	6.30156351409967	4.29829048357359	3.47945308519996	4.86305348085782	4.3303193651465	8.44233212597131	8.67962775455137	8.50120074258954	9.23835101585692	8.78056437263521	8.95600377761546	8.03614286090288	7.33517312585185	8.87694990935776	8.71852512948751	8.78056437263521	8.29324445643228	7.29931160955006	8.8449539945326
CLEC4M	1.63737011377767	5.510718963801	3.55237633912482	4.40499207032734	3.47719572994735	3.96498714721936	2.89777789376384	1.94775520105236	3.49201911120672	4.16999656192153	1.95994675047956	4.61624033906303	3.46667761084329	3.0337166500304	6.8189531440112	8.24873518750194	7.99369457693495	8.14569868113178	8.10850080992653	8.22843465677841	6.81364225833845	6.05260991324902	8.56008160648596	8.28928666847952	7.89343011143929	6.89370095999308	6.17323885014833	8.86966563866113
CLEC4G	3.39183071736361	6.02924529273672	1.06977580670805	4.0336380000446	3.18449756279002	4.43246974749855	1.84297883178833	3.17347012995661	4.48906042139082	5.36796036306686	3.15461561132689	2.51035916387238	2.43594602568903	3.99012287812277	7.29693805083597	7.89644161293718	7.36324879205117	7.92875769424595	7.86199892098033	8.18400895821433	6.50547564330466	6.72472091201675	8.35336329679911	8.18069093017838	8.01825582653617	7.31592047604646	6.40305899205181	8.21479756885247
STEAP3	4.426444481261	6.7999830983757	6.98267742157725	5.15061528130928	5.42242524467572	5.90221327793146	6.46918633083065	5.87147992563486	6.50284947998316	5.9816678477851	5.8607248940821	5.8786823909787	5.95693951471416	6.16570620770448	8.07428484567233	7.92961208098979	8.32862898429711	8.53182631573214	8.28798455215301	8.12238399662893	7.96161555261305	7.51432002151032	8.21215762345349	8.60167131620848	8.31259127586006	7.48733809378435	8.66057195527589	7.75529585520971
PTH1R	5.71868127623497	5.43772164569886	5.18580537345355	5.1043940748993	4.57467873183541	4.6692900365721	4.65278498899756	4.74169168775522	4.11127728666686	4.64160451628265	4.74978644271707	5.48430791369027	3.7072802402429	4.62374216817601	6.46918633083065	6.92261200977348	7.05327363569539	6.27456119308432	6.84373789012901	6.82440570369795	6.24382625702195	6.23494900125109	7.19137367288399	6.72259450552415	7.3716732885382	7.43492106540507	6.61940689664139	7.5984898962173
ECM1	5.63826350779513	6.35502022080027	5.11204475495	5.57952324074031	5.28895621184172	5.37235101555976	4.09428383308882	4.93488673508406	5.782249413346	6.16173209890422	5.53600292918018	5.00659323808976	6.10474217178916	5.91557638532927	7.28005251000115	7.0927741270252	7.05674168312938	7.14140025805225	6.86379836640895	8.16691246225605	7.67073211189372	7.47884423887323	8.24501472189492	7.84756001248336	7.80465539554866	8.00084290242997	7.73433462560028	7.88150366809561
STAB2	2.93371875274154	4.75112797500197	3.41869996477845	3.81471520559531	3.0042338449833	3.82751661720412	2.72323348811866	1.36690500360575	3.80294404045576	3.87803547684051	2.87153859681732	3.66045438412218	4.00718393034658	2.69829125156252	5.51615025821929	6.14809520268778	5.08832926607431	6.33697404625855	6.23850937755471	6.2508890053919	5.20261362014849	5.8261118599509	6.46227049574065	6.36413986742381	5.94133411810428	6.5288494174634	5.13868381799968	6.42162906777495
DNASE1L3	6.77605719947998	8.10380399032296	6.25745391098073	6.59263170003951	4.86462203376878	5.5583988458041	5.12099319181504	5.78125041430563	6.57275435529234	6.95627242967002	4.97593373051959	6.21455636166112	6.10805358031871	5.05798355953712	8.99778602207633	8.9721194153628	8.45289793130534	8.93896313103968	9.35495149427478	9.12145048144517	8.01582321063256	8.33670021320025	9.59329985371369	9.21651794749004	9.06542014189006	8.78189047769081	7.8984196400698	9.70640916430911
