id	GSM3163056	GSM3163057	GSM3163058	GSM3163059	GSM3163060	GSM3163061	GSM3163062	GSM3163063	GSM3163064	GSM3163065	GSM3163066	GSM3163067	GSM3163068	GSM3163069	GSM3163070	GSM3163071	GSM3163072	GSM3163073	GSM3163074	GSM3163075	GSM3163076	GSM3163077	GSM3163078	GSM3163079
CLEC4G	-1.433804622375	-1.422934017875	-1.380643941375	-1.27067425395833	-0.628679378333333	2.08890555875	-1.35022533458333	-0.905882260416667	0.111909859125	-0.998565373291667	-1.35862405958333	-1.39027368870833	3.277821757625	2.20917638854167	3.40700457083333	2.775604652	2.707429373625	2.83435501041667	1.86291091229167	2.39329299779167	3.06381978645833	2.81902712291667	1.71970739516667	3.07912591875
HIST1H2BL	7.445336725	7.0987849125	7.3909398125	7.3909398125	6.54699334095833	6.64792971875	7.61590049166667	7.66884733333333	7.3909398125	7.82333163470833	6.8285533875	7.94066733470833	5.19035305070833	5.446504975	5.446504975	4.839696226375	5.39215100625	5.43056326770833	6.18461041041667	6.06374854583333	5.19404671529167	5.000942107625	5.93301828125	4.84831223958333
IQGAP3	-0.106565908	0.192734850916667	-0.176628934833333	0.269683367166667	-0.365631370458333	-2.23289769783333	-0.00597416875	-0.507104639666667	0.253759516583333	0.809524605916667	-1.46898776616667	-0.433421045666667	-4.729313723625	-3.12596296804167	-4.46949543875	-4.284217358625	-4.308094254875	-4.377457867375	-2.471550221875	-2.18984943125	-3.286326130125	-2.949525492	-2.8212101	-4.4209475065
HIST1H2BO	6.4515144375	6.402599734375	6.61843890554167	6.52012848470833	5.73817592708333	5.886801917375	7.1354250625	6.67330705554167	6.52012848470833	7.445336725	6.33807617916667	7.205573201375	4.2703990875	4.61809599166667	4.73678547220833	4.12654627354167	4.80688245833333	4.72488466875	5.33828119791667	5.33828119791667	4.63981537570833	4.28854260625	5.27774926458333	4.04519191075
HAMP	0.104404969791667	-0.641790815791667	0.450976043375	0.244811545666667	1.55291493520833	3.70338553958333	1.40481686266667	-0.582119556833333	0.13679978375	0.0410846228333333	0.268511285416667	-0.174504643333333	3.85749414570833	2.93205582708333	4.65829753195833	3.87604119791667	3.9684102965	4.74030514375	3.469766203125	3.72624180458333	4.28409919654167	4.243465026375	3.9664037125	3.97668221875
HIST1H2BH	6.96198696458333	6.61843890554167	7.02738226666667	7.06660924375	5.99033098541667	6.14635739791667	7.54951119304167	7.06660924375	6.8285533875	7.61590049166667	6.76262409791667	7.66884733333333	4.73197948333333	5.06270982375	5.01922806666667	4.39054924166667	5.03894315104167	5.03011604375	5.78791342154167	5.65708764791667	4.86435538541667	4.647823073625	5.60808119270833	4.40031809929167
MARCO	-0.391590213	-0.879921725666667	-0.731480153416667	0.390064806708333	1.06765422616667	2.87014418820833	-0.697621334625	-0.200575833375	0.217502592416667	-0.55522199875	-0.37656843175	-0.547531866583333	4.047130470125	1.627363596375	4.17132532916667	3.15016310916667	3.46621181583333	3.04307512645833	2.639830033875	3.750776917375	4.48168172708333	4.14797115345833	3.81034044720833	5.00655090520833
NEK2	1.31773983475	0.500254693625	1.72920789166667	1.30956932691667	-1.57137753895833	-0.765460560416667	0.51221129375	1.16305185658333	0.897371554583333	1.64554546708333	-0.220163242708333	1.72205895166667	-3.10735755529167	-2.45071306291667	-2.79174560283333	-3.53198303541667	-3.00254663145833	-4.160296333	-2.34042687570833	-0.392757227083333	-2.78959352933333	-3.19321589366667	-3.121868914375	-2.99439006145833
MT1H	-0.145328154875	-1.20304452875	1.223299336875	0.633909052916667	1.28563887604167	4.04978349791667	1.36329354675	-0.384493540166667	1.42859328991667	0.342437300833333	1.78776594133333	0.374029609708333	5.51007870416667	4.35046116041667	4.40632615208333	5.68587113333333	4.44128449233333	4.66027637291667	3.03737430166667	4.32839373229167	4.98913379929167	4.48168172708333	4.44128449233333	5.080733323625
MT2A	1.69290709375	1.69549206666667	2.955033775	2.12914062429167	2.98644171095833	4.62908106666667	3.26930492979167	0.874733423916667	3.950619863875	1.85452600025	4.000548868875	1.68037619958333	5.745056817375	5.85206574654167	5.39859087891667	6.402599734375	5.22252017016667	5.745056817375	4.93022182429167	5.408519425	5.87091886875	5.56929032983333	5.90980383541667	5.89924210208333
HIST1H2BI	6.2991231125	5.47791586458333	6.4515144375	6.33807617916667	4.69699253854167	5.23340384166667	7.205573201375	6.59235867708333	6.156208867375	6.50399138125	6.06374854583333	6.74115830833333	3.53736875875	3.99871691041667	4.17307120208333	3.344571742375	3.61845989395833	4.04166024791667	4.67286922779167	4.93022182429167	3.71039171233333	3.4425537105	4.57882189583333	3.17111378333333
CENPF	0.144502703208333	0.175919372375	0.391925110833333	1.093511966	-2.5133622625	-1.26393550733333	0.191023167	0.513123260041667	0.416946328333333	0.669402783333333	-0.765881829583333	1.14904142125	-4.21215900625	-3.70022575070833	-4.12469651529167	-4.36455434583333	-4.679505559	-4.707185286125	-2.36841227845833	-1.28771667291667	-3.418670778125	-3.30095993516667	-2.71284519375	-3.38587983958333
MT1A	2.573416526375	2.89731971070833	3.97668221875	2.80324209166667	4.00884296041667	6.28219376979167	4.57882189583333	2.74979789791667	4.98554457708333	2.762909375	4.81097209166667	2.39385150916667	6.78807167083333	7.170544811125	6.61843890554167	7.06660924375	6.43465782916667	6.8285533875	6.52012848470833	6.43465782916667	6.8643737375	6.78807167083333	6.74115830833333	6.99765020345833
