id	GSM2712004	GSM2712005	GSM2712006	GSM2712007	GSM2712008	GSM2712009	GSM2712010	GSM2712011	GSM2712012	GSM2712013	GSM2712014	GSM2712015	GSM2712016	GSM2712017	GSM2712018	GSM2712019	GSM2712020	GSM2712021	GSM2712022	GSM2712023	GSM2712024	GSM2712025	GSM2712026	GSM2712027	GSM2711996	GSM2711997	GSM2711998	GSM2711999	GSM2712000	GSM2712001	GSM2712002	GSM2712003
CLEC4M	3.40328361755952	3.53216861331845	2.96782801770833	5.11703723020833	3.3805348109375	3.18717689583333	3.21230524181548	3.541593875	3.13356709270833	3.0363571515625	3.03268063988095	3.28372983333333	2.88785869270833	2.74469553125	3.30432763020833	3.26028501302083	3.37486038541667	3.0180641234375	3.35608584166667	2.89915580208333	2.9465649296875	3.0180641234375	3.28142585825893	3.18357424635417	6.60186954583333	8.544083096875	6.3068754953125	8.0097442421875	7.86493187239583	6.99965618229167	8.09746175989583	6.63478595572917
CLEC4G	3.7929289031994	4.73080304174107	3.7962349578125	6.2008507171875	4.45165813720238	3.95549445442708	3.82328621459478	4.96693452366071	3.95612484739583	4.2185901078125	3.9389102890625	3.84790444791667	3.73745148020833	4.03552447284226	4.5216786921875	3.94412309810606	4.06307899151786	4.1342089375	4.49329032864583	3.87989714635417	4.10962724107143	3.71844544114583	5.24487967395833	4.36676428177083	6.99590178125	8.46610056361607	7.81866206041667	9.20740090625	8.75068063645833	8.13585057447917	8.691065765625	8.45031905208333
CCNB1	6.56818600520833	7.54379729947917	7.37531999739583	5.46299492708333	6.80016822760417	6.34105229322917	6.09171614627976	5.43768646614583	7.84256713020833	7.94846943229167	6.68587924826389	7.52699137239583	7.07782528958333	6.85256314508929	6.09478481302083	7.15671617447917	6.6686309375	7.90612474479167	6.55584875520833	7.99389974479167	7.517301609375	6.85397350905449	7.43156737901786	6.4083936702381	2.90504236458333	3.1160499765625	3.20627317395833	3.73070729241071	3.20017009479167	3.30570236979167	3.38452674144345	3.13804906354167
FCN2	5.13330826971726	4.24898287239583	3.9856584375	5.2072802015625	4.86403457291667	3.93479804322917	4.028203409375	4.639591740625	4.16887105148809	4.19222081510417	3.81417664375	4.16587108311012	3.83712169122024	4.3035005155754	4.43588166557765	4.00901193489583	5.00136422604167	4.98798699270833	4.23356432291667	3.88257168072917	4.04067997916667	3.840350015625	4.80301127693452	4.57825972395833	6.00323650434028	7.09539813802083	6.48509290625	7.36014475	7.35919446123512	6.67538740625	7.355628890625	7.12121669739583
LINC01093	5.06977978511905	3.23534016636905	4.39822246927083	5.15042564270833	3.45410079036458	3.13089557291667	3.5130232265625	2.85171224107143	3.17873160052083	4.00529621223958	3.1238233671875	4.18365508790064	3.32772221354167	3.51900973660714	6.03592884166667	4.19433990625	4.19334977083333	2.474407265625	2.8444172203125	3.01936591927083	2.970619125	2.82755413020833	5.83841168854167	7.07952798854167	8.7063859375	9.47781853125	9.4919002578125	9.741239640625	10.4819970442708	10.2116018385417	8.94310765104167	9.65275591666667
CLEC1B	3.68105339575893	3.90127375	3.26390682916667	6.839892375	4.642582684375	3.58068142391098	3.5559872484375	3.72649336875	3.41144920572917	3.71068349479167	3.4426571328125	3.56412430208333	3.78406379166667	3.55213914166667	3.47101219270833	3.58026460416667	4.0382166171875	4.81337249739583	3.71899276041667	3.4054244296875	3.78495894010417	3.37782388802083	4.50389900885417	2.01354559375	6.80208114791667	8.43925541532738	7.05385943229167	9.600852925	9.20582007626488	8.80595882291667	8.6887030734375	8.42366225446429
ECM1	5.6984607953125	5.83985183177083	5.35879830729167	7.65864834412202	6.57936951153274	5.839513659375	6.05643492864583	6.30506189166667	5.9778339484375	5.88674801041667	5.87830715520833	5.60597648950893	5.777951325	6.00449946145833	6.04754066875	5.81684691875	5.99137487061584	6.34788181770833	5.85996738125	5.73701464010417	5.83377801108631	5.71495735729167	6.829128328125	4.39847170044643	8.5376289765625	8.30625252395833	9.404498484375	8.4562879921875	8.86354517291667	8.94310765104167	8.83608291796875	8.713224703125
PTH1R	5.02982089401042	5.17239235677083	4.75529659166667	5.64130925260417	5.50743485913318	4.34108216015625	5.22579444739583	4.99779048697917	4.80112198515625	5.108640184375	5.0404023625	5.04225806123512	4.89305017604167	5.50840316354167	5.29674619466766	4.43605410677083	4.89149381979167	5.66773426755952	5.1344657484375	4.90145437142857	4.8506498765625	4.97382552708333	5.29513620412946	5.15455281510417	6.73102494140625	6.91520449791667	6.53560930572917	6.57642473459821	7.22077797239583	6.857635225	6.50696871223958	7.1975546875
LYVE1	3.2371388515625	3.78947970703125	3.23451715520833	4.47651476197917	3.35762294791667	3.36083446056548	3.347196640625	4.1100249577381	3.29679559791667	3.6170632984375	3.32157103035714	3.1365361953125	3.47263527613636	3.076538046875	3.65365467299107	4.32168291116071	3.48996346875	3.554415078125	3.1191212078125	3.23767609375	2.82231691666667	3.34210483489583	3.55935358377976	3.4019363984375	5.26652454650298	6.58127949479167	5.3592319218006	7.6553844375	6.61769550104167	5.82089866629464	6.81893442708333	5.50636506354167
BCO2	4.39121108854167	3.561279046875	4.33882215052083	7.12680731875	5.50743485913318	4.65882667380952	4.572470496875	5.24160786979167	3.83915261145833	3.94126303489583	4.67415035833333	5.56098172544643	5.3261602546875	4.36418935520833	5.63209788854167	3.72971927552083	5.19055847395833	4.47885201458333	4.86791373541667	3.92351491964286	3.573310265625	4.31589338697917	6.68772513683036	3.98888045364583	9.7382714921875	7.09288468697917	10.3507039114583	9.7358881171875	9.46940863645833	9.24331875520833	9.93577380729167	8.9623429375
